favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
112887,Twitter for iPhone,"Just spoke to Mary Barra, CEO of General Motors about the Lordstown Ohio plant. I am not happy that it is closed wh… https://t.co/2u14Ul3CVA",,False,Sun Mar 17 22:27:27 +0000 2019,24255,1107408129619382277
28174,Twitter Web Client,"Yet another terrorist attack, this time in Turkey. Will
the world ever realize what is going on? So sad.",,False,Tue Jun 28 21:08:51 +0000 2016,10687,747899586593890309
26306,Twitter for Android,"So I raised/gave $5,600,000 for the veterans and the media makes me look bad! They do anything to belittle - totally biased.",,False,Wed Jun 01 13:17:58 +0000 2016,8244,737996614573260800
79342,Twitter for iPhone,Great new book by Jason Chaffetz appropriately called “The Deep State.” Very interesting indeed!,,False,Wed Sep 19 23:57:36 +0000 2018,18580,1042563390462418944
100432,Twitter for iPhone,"FBI top lawyer confirms “unusual steps.” They relied on the Clinton Campaign’s Fake &amp; Unverified “Dossier,” which i… https://t.co/dcBi6r8MG3",,False,Tue Jan 22 13:15:09 +0000 2019,25760,1087700192864944128
98404,Twitter for iPhone,Fascinating to watch people writing books and major articles about me and yet they know nothing about me &amp; have zero access. #FAKE NEWS!,,False,Tue Sep 12 12:56:47 +0000 2017,21376,907588803161939968
7641,Twitter for Android,"""@jsconlon11:  @BertShad @Foxnews @megynkelly I tried to give them a shot tonight, but they have the whole anti Trump cheerleading team.""",,False,Tue Mar 15 23:34:55 +0000 2016,2323,709885620034867200
77411,Twitter for iPhone,I never directed Michael Cohen to break the law. He was a lawyer and he is supposed to know the law. It is called “… https://t.co/x1qy9ba3fH,,False,Thu Dec 13 13:17:08 +0000 2018,17524,1073205176872435713
158321,Twitter for Android,"If the ban were announced with a one week notice, the ""bad"" would rush into our country during that week. A lot of bad ""dudes"" out there!",,False,Mon Jan 30 13:31:00 +0000 2017,31855,826060143825666051
18355,Twitter Web Client,"FACT ✔️ on “red line” in Syria: HRC ""I wasn’t there."" Fact: line drawn in Aug ’12. HRC Secy of State til Feb ’13. https://t.co/4yZjH3TR5B",,False,Mon Oct 10 02:18:37 +0000 2016,10463,785303494551044097
46168,Twitter for iPhone,"Happy #NationalFarmersDay!
📸https://t.co/dN39R1IMlA https://t.co/QbUG1pztaI",,False,Thu Oct 12 20:19:32 +0000 2017,9788,918571860308254720
53417,Twitter for iPhone,".@DannyTarkanian is a great guy and a team player. He will represent his District, State and Country at the highest… https://t.co/KVIL8bfPDr",,False,Sun Nov 04 01:39:58 +0000 2018,13691,1058896605527597056
125769,Twitter for iPhone,Talks with China are going very well!,,False,Tue Jan 08 13:16:09 +0000 2019,19437,1082627015235256321
53003,Twitter for iPhone,“The story of Puerto Rico is the rebuilding that has occurred. The President has done an extraordinary job of clean… https://t.co/afnXfgzFZP,,False,Sat Sep 15 00:31:40 +0000 2018,13504,1040760021443850241
4401,Twitter for iPhone,Just sat down for a great interview with @PHussionWYFF in Greenville today. Watch at 5pm. An amazing day in South Carolina! #VoteTrumpSC,,False,Tue Feb 16 17:59:42 +0000 2016,1343,699654401481449472
610,Twitter Web Client,“TRUMP DECLARES VICTORY ON IMMIGRATION AS OBAMA ADMITS SOME ILLEGALS ARE ‘GANG BANGERS’” http://t.co/e0HLxf1dS2 via @BreitbartNews @ASwoyer,,False,Thu Jul 02 18:49:27 +0000 2015,452,616680096976535553
64198,Twitter for iPhone,"Amazon is doing great damage to tax paying retailers. Towns, cities and states throughout the U.S. are being hurt - many jobs being lost!",,False,Wed Aug 16 10:12:45 +0000 2017,16195,897763049226084352
116072,Twitter for iPhone,PRESIDENTIAL HARASSMENT!,,False,Tue Mar 05 14:12:28 +0000 2019,27218,1102934910900363266
1116,Twitter for Android,"Convention Center officials in Phoenix don't want to admit that they broke the fire code by allowing 12-15,000 people in 4,000 code room.",,False,Sun Jul 12 13:18:21 +0000 2015,511,620220652189040640
41320,Twitter Media Studio,https://t.co/xJ9QYGMJXa,,False,Thu Oct 11 16:21:53 +0000 2018,8612,1050421238429077505
137749,Twitter for iPhone,"...It is all a GIANT AND ILLEGAL HOAX, developed long before the election itself, but used as an excuse by the Demo… https://t.co/unCVqZ2Bnp",,False,Fri Feb 08 13:59:10 +0000 2019,29261,1093871865246961666
71742,Twitter for iPhone,President Xi of China has stated that he is upping the sanctions against #NoKo. Said he wants them to denuclearize. Progress is being made.,,False,Sat Nov 11 23:32:25 +0000 2017,14293,929492038231429120
66310,Twitter for iPhone,"Martha McSally, running in the Arizona Primary for U.S. Senate, was endorsed by rejected Senator Jeff Flake....and… https://t.co/9WZz80Z9YU",,False,Wed Aug 29 04:44:54 +0000 2018,14024,1034663158357655552
11847,Twitter for Android,"Will be spending the day campaigning in Connecticut, another state where jobs are being stolen by other countries. I will stop this fast!",,False,Sat Apr 23 12:37:16 +0000 2016,3846,723853244238278656
121046,Twitter for iPhone,“The four page memo released Friday reports the disturbing fact about how the FBI and FISA appear to have been used… https://t.co/ZT9YHhTIlA,,False,Sun Feb 04 00:40:24 +0000 2018,33058,959949725028974592
48940,Twitter for iPhone,The failing @nytimes has disgraced the media world. Gotten me wrong for two solid years. Change libel laws? https://t.co/QIqLgvYLLi,,False,Thu Mar 30 14:27:14 +0000 2017,11655,847455180912181249
73642,Twitter for iPhone,"Sleazy Adam Schiff, the totally biased Congressman looking into ""Russia,"" spends all of his time on television pushing the Dem loss excuse!",,False,Mon Jul 24 13:12:59 +0000 2017,18888,889473486506385409
95884,Twitter for iPhone,"Very good news to receive the warm and productive statement from North Korea. We will soon see where it will lead,… https://t.co/BoKsJzcaTV",,False,Fri May 25 12:14:07 +0000 2018,22018,999986971660423170
106379,Twitter for Android,"of jobs and companies lost. If Mexico is unwilling to pay for the badly needed wall, then it would be better to cancel the upcoming meeting.",,False,Thu Jan 26 13:55:03 +0000 2017,25503,824616644370714627
12761,Twitter for iPhone,Thank you @greta. #ImWithYou https://t.co/SLdqNhD4Tm,,False,Sat Jul 02 15:33:19 +0000 2016,5335,749264697233383424
33123,Twitter for iPhone,Last nights results - in poll taken by NBC. #AmericaFirst #ImWithYou https://t.co/sCOnny1fl3,,False,Thu Sep 08 19:52:32 +0000 2016,13813,773972305642913792
112895,Twitter for iPhone,"The only things the Democrats do well is “Resist,” which is their campaign slogan, and “Obstruct.” Cryin’ Chuck Sch… https://t.co/GBFgVFHKgz",,False,Sat Jul 28 00:47:58 +0000 2018,28277,1023007120130760704
35046,Twitter for iPhone,State Treasurer John Kennedy is my choice for US Senator from Louisiana. Early voting today; election next Saturday.,,False,Sat Dec 03 19:09:40 +0000 2016,8727,805126876779913216
3903,Twitter for iPhone,"Video from Michigan last night. After asking for months, the media panned their cameras! https://t.co/jXwS0y08L7 https://t.co/ikjkpmOAeu",,False,Tue Dec 22 19:32:02 +0000 2015,1428,679383917057605632
122163,Twitter for iPhone,....There is a lot of explaining to do to the millions of people who had just elected a president who they really l… https://t.co/zXI6PPXBEu,,False,Mon Feb 18 12:29:07 +0000 2019,29070,1097473080253968384
1539,Twitter for Android,.@Morning_Joe can you believe Kasie Hunt's poor and purposely inaccurate reporting on my great night and crowd in Iowa. @politico is a scam!,,False,Wed Oct 28 15:18:45 +0000 2015,746,659388840709259264
2455,Twitter for Android,"""@teapartynews: Trump Wins Tea Party Group's 'Nashville Straw Poll' - Newsmax http://t.co/tGJEeapJga""  GREAT, THANK YOU!",,False,Sun Aug 30 03:30:08 +0000 2015,1006,637829630859345922
84087,Twitter Media Studio,"Thank you Foxconn, for investing $10 BILLION DOLLARS with the potential for up to 13K new jobs in Wisconsin! MadeIn… https://t.co/RM5cwYQZKZ",,False,Thu Jul 27 00:01:35 +0000 2017,19107,890361489126805504
21241,Twitter for iPhone,Riley Rone was a great young man. We will miss him dearly. https://t.co/R0tm44nMao,,False,Sat Jun 11 22:35:57 +0000 2016,8117,741760911044685824
